artifact_id,summary,open_date,status_name,priority,assigned_to_name,submitter_name,last_modified_date
15169,"Rework definitions in OM for ....","2008-07-08 15:05","Closed",3,"Ulli Wagner","Ulli Wagner","2009-02-13 11:02"
15935,"change otherLocationURL in ProteomicsData","2008-08-08 14:28","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:14"
16302,"CDE - consider using the soon to be standardized organism CDE instead of our own species object ","2008-08-27 11:31","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
16303,"Consider removing name attribute from party table","2008-08-27 11:38","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
16308,"Consider removing the visible_to column in the availability table / object ","2008-08-27 12:11","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
16634,"graftCollection association left in 2.5 from Abs_cancer_model","2008-09-22 12:59","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
16635,"disease name_altern_entry is missing","2008-09-22 12:59","Closed",3,"Ulli Wagner","Ulli Wagner","2009-12-09 11:16"
16636,"MTB_id missing in histopathology object","2008-09-22 13:00","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
16637,"Quan's initial findings after reviewing the caMOD 2.5 OM","2008-09-22 13:08","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:15"
17295,"Naming inconsistencies in publication class (jaxJNumber vs rgdPubId)","2008-10-22 14:18","Open",3,"Ulli Wagner","Ulli Wagner","2008-12-04 14:16"
19544,"Change data type for GeneIdentifier.entrezGeneId to number to comply with standard CDE","2009-02-23 11:11","Open",3,"Ulli Wagner","Ulli Wagner","2009-02-23 11:11"
19838,"Attribute expressionLevel in ExpressionLevelDescription should be changed to name to be consistent with other objects","2009-03-09 11:07","Open",3,"Nobody","Ulli Wagner","2009-03-09 11:07"
19951,"add concept code to environmental factor table","2009-03-17 12:57","Open",3,"Nobody","Ulli Wagner","2009-03-17 12:57"
20996,"change data type of start_page and end_page in publication object","2009-04-28 12:25","Open",3,"Nobody","Ulli Wagner","2009-04-28 12:25"
24177,"move the comments attribute from the subclass animal_model to the superclass abstract_cancer_model","2009-11-05 13:52","Open",3,"Ulli Wagner","Ulli Wagner","2009-11-05 13:52"
