artifact_id,summary,open_date,status_name,priority,assigned_to_name,submitter_name,last_modified_date
12858,"Review models submitted by Amnon or Fei that are currently in the &quot;Editor - assigned&quot; state","2008-03-03 14:49","Closed",3,"Ulli Wagner","Ulli Wagner","2008-04-09 11:54"
12859,"Take care of &quot;need more information models&quot;","2008-03-03 14:50","Closed",3,"Ulli Wagner","Ulli Wagner","2008-10-08 13:48"
12860,"Clean up the comments accidentally submitted by the ediors","2008-03-03 14:51","Closed",3,"Ulli Wagner","Ulli Wagner","2008-03-06 14:26"
12861,"correct publications that have &quot;comment in&quot; as title","2008-03-03 14:54","Closed",3,"Ulli Wagner","Ulli Wagner","2008-03-06 14:53"
12996,"find out if all model states add up to total number of models","2008-03-12 09:34","Closed",3,"Ulli Wagner","Ulli Wagner","2008-05-07 12:00"
13542,"check back if Jax made entry for L2D1","2008-04-08 14:22","Closed",3,"Ulli Wagner","Ulli Wagner","2008-04-09 11:48"
13558,"Find out if all models have links to outside sources","2008-04-09 11:53","Open",3,"Maureen Colbert","Ulli Wagner","2008-08-05 10:22"
14240,"Clean up duplicates in organ table","2008-05-14 13:54","Open",3,"Nobody","Ulli Wagner","2008-05-14 13:54"
14241,"Clean up duplicates in disease table","2008-05-14 13:55","Open",3,"Nobody","Ulli Wagner","2008-05-14 13:55"
14315,"Clean up Environmental Factor table","2008-05-19 10:51","Open",3,"Nobody","Ulli Wagner","2008-05-19 10:51"
14320,"Clean up dosage and dosage unit fields in treatment table","2008-05-19 11:49","Open",3,"Nobody","Ulli Wagner","2008-05-19 11:49"
14456,"Get lexicon and deltagen strains in caMOD ","2008-05-23 14:28","Open",3,"Nobody","Ulli Wagner","2008-05-23 14:28"
14539,"identify models used in the CPAS proteomics experiments","2008-05-30 09:31","Open",3,"Maureen Colbert","Maureen Colbert","2008-10-07 09:25"
14540,"identify image data for existing models","2008-05-30 09:31","Open",3,"Maureen Colbert","Maureen Colbert","2008-05-30 09:33"
14541,"Identify microarray data for existing models","2008-05-30 09:32","Open",3,"Maureen Colbert","Maureen Colbert","2008-05-30 09:32"
14542,"create internal connections between entries for the same animal model","2008-05-30 09:32","Open",3,"Maureen Colbert","Maureen Colbert","2008-05-30 09:32"
14543,"create internal connections between entries of related models","2008-05-30 09:33","Open",3,"Maureen Colbert","Maureen Colbert","2008-05-30 09:33"
14739,"Sync caMOD and NCI Repository data","2008-06-09 22:43","Open",3,"Maureen Colbert","Ulli Wagner","2009-09-08 13:26"
15158,"Tool strain designation incorrect for some strains","2008-07-08 11:47","Closed",3,"Maureen Colbert","Ulli Wagner","2008-07-09 13:16"
15195,"Clean up gene name on genetic description pages","2008-07-09 13:31","Closed",3,"Nobody","Ulli Wagner","2008-10-02 15:12"
15306,"create sql to clean up environmental factor table (induced mutation problem)","2008-07-17 09:33","Open",5,"Ulli Wagner","Ulli Wagner","2008-09-19 14:08"
15380,"Cleaning up leading and trailing blanks in engineered gene name","2008-07-18 14:59","Closed",3,"Nobody","Ulli Wagner","2008-10-02 14:23"
16067,"Clean up the gene ID from engineered gene name field","2008-08-14 10:08","Closed",3,"Maureen Colbert","Ulli Wagner","2009-02-10 14:35"
17550,"add missing email addresses to contact_info table","2008-11-03 13:14","Closed",3,"Maureen Colbert","Ulli Wagner","2009-02-10 14:31"
18773,"Map ZFIN data to caMOD","2009-01-14 11:03","Open",3,"Maureen Colbert","Ulli Wagner","2009-01-14 11:03"
18803,"Import new MTB data set","2009-01-15 13:28","Closed",3,"Nobody","Ulli Wagner","2009-09-08 13:27"
19956,"add new agents to environmental_factor table","2009-03-17 14:14","Open",3,"Maureen Colbert","Ulli Wagner","2009-03-17 14:14"
24379,"Delete entries in disease table without name and name_altern_entry and orphaned histopathology records","2009-11-18 11:31","Closed",3,"Nobody","Ulli Wagner","2010-03-30 15:18"
25834,"Remove Locus Link Id numbers from promoter entries and add species if available","2010-01-15 12:27","Open",3,"Maureen Colbert","Ulli Wagner","2010-01-15 12:27"
